RefDes;Name;Pattern;Center X (mm);Center Y (mm);Side;Rotation;Value
J_AUX;EURO_JACKS_SMALL_SILK (EURO_JACK);Thonkiconn;75.659;27.856;Bottom;0.0;Eurorack Jack
J_DENS;EURO_JACKS_SILK (EURO_JACK);Thonkiconn;55.339;27.856;Bottom;0.0;Eurorack Jack
J_FDBK;EURO_JACKS_SILK (EURO_JACK);Thonkiconn;42.715;39.21;Bottom;270.0;Eurorack Jack
J_HOLD;EURO_JACKS_SMALL_SILK (EURO_JACK);Thonkiconn;35.019;16.909;Bottom;180.0;Eurorack Jack
J_I-LVL;EURO_JACKS_SILK (EURO_JACK);Thonkiconn;85.819;27.856;Bottom;0.0;Eurorack Jack
J_LIN;EURO_JACKS_SILK (EURO_JACK);Thonkiconn;85.819;16.909;Bottom;180.0;Eurorack Jack
J_LOUT;EURO_JACKS_SILK (EURO_JACK);Thonkiconn;24.859;16.909;Bottom;180.0;Eurorack Jack
J_MIX;EURO_JACKS_SILK (EURO_JACK);Thonkiconn;70.655;39.21;Bottom;270.0;Eurorack Jack
J_O-LVL;EURO_JACKS_SILK (EURO_JACK);Thonkiconn;14.699;27.856;Bottom;0.0;Eurorack Jack
J_PAN;EURO_JACKS_SILK (EURO_JACK);Thonkiconn;57.803;39.21;Bottom;90.0;Eurorack Jack
J_PITCH;EURO_JACKS_SILK (EURO_JACK);Thonkiconn;45.179;16.909;Bottom;180.0;Eurorack Jack
J_POSI;EURO_JACKS_SILK (EURO_JACK);Thonkiconn;65.499;27.856;Bottom;0.0;Eurorack Jack
J_RIN;EURO_JACKS_SILK (EURO_JACK);Thonkiconn;75.659;16.909;Bottom;180.0;Eurorack Jack
J_ROUT;EURO_JACKS_SILK (EURO_JACK);Thonkiconn;14.699;16.909;Bottom;180.0;Eurorack Jack
J_SIZE;EURO_JACKS_SILK (EURO_JACK);Thonkiconn;45.179;27.856;Bottom;0.0;Eurorack Jack
J_TEXT;EURO_JACKS_SILK (EURO_JACK);Thonkiconn;35.019;27.856;Bottom;0.0;Eurorack Jack
J_TRIG;EURO_JACKS_SMALL_SILK (EURO_JACK);Thonkiconn;24.859;27.856;Bottom;0.0;Eurorack Jack
J_VERB;EURO_JACKS_SILK (EURO_JACK);Thonkiconn;29.863;39.21;Bottom;90.0;Eurorack Jack
J_VOCT;EURO_JACKS_SILK (EURO_JACK);Thonkiconn;55.339;16.909;Bottom;180.0;Eurorack Jack
JP1;M04PTH;1X04;18.635;118.228;Bottom;0.0;
LED_A;LED_SILK (LED);LED_SILK;85.819;68.42;Bottom;180.0;3mm Yellow Diffused
LED_B;LED_SILK (LED);LED_SILK;85.819;63.34;Bottom;180.0;3mm Yellow Diffused
LED_C;LED_SILK (LED);LED_SILK;85.819;58.26;Bottom;180.0;3mm Yellow Diffused
LED_D;LED_SILK (LED);LED_SILK;85.819;53.18;Bottom;180.0;3mm Yellow Diffused
LED_IN1;LED_SILK (LED);LED_SILK;58.831;117.315;Bottom;0.0;3mm Green Diffused
LED_IN2;LED_SILK (LED);LED_SILK;53.116;117.315;Bottom;0.0;3mm Green Diffused
LED_IN3;LED_SILK (LED);LED_SILK;47.401;117.315;Bottom;0.0;3mm Yellow Diffused
LED_IN4;LED_SILK (LED);LED_SILK;41.686;117.315;Bottom;0.0;3mm Red Diffused
LED_OUT1;LED_SILK (LED);LED_SILK;58.831;112.87;Bottom;0.0;3mm Green Diffused
LED_OUT2;LED_SILK (LED);LED_SILK;53.116;112.87;Bottom;0.0;3mm Green Diffused
LED_OUT3;LED_SILK (LED);LED_SILK;47.401;112.87;Bottom;0.0;3mm Yellow Diffused
LED_OUT4;LED_SILK (LED);LED_SILK;41.686;112.87;Bottom;0.0;3mm Red Diffused
LED_T1;LED_SILK (LED);LED_SILK;14.699;68.42;Bottom;180.0;3mm Yellow Diffused
LED_T2;LED_SILK (LED);LED_SILK;14.699;63.34;Bottom;180.0;3mm Yellow Diffused
LED_T3;LED_SILK (LED);LED_SILK;14.699;58.26;Bottom;180.0;3mm Yellow Diffused
LED_T4;LED_SILK (LED);LED_SILK;14.699;53.18;Bottom;180.0;3mm Yellow Diffused
S_BANK;TAC_SWITCHTACTILE_PTH_SILK (TAC_SWITCH);TACTILE-PTH_SILK;85.819;45.56;Bottom;270.0;Mini Button
S_HOLD;LED_BUTTONLED_BUTTON_SILK (LED_BUTTON);LED_BUTTON_SILK;18.509;111.6;Bottom;270.0;LED Button White
S_MUTE_INS;TAC_SWITCHTACTILE_PTH_SILK (TAC_SWITCH);TACTILE-PTH_SILK;33.749;114.775;Bottom;270.0;Mini Button
S_MUTE_OUTS;TAC_SWITCHTACTILE_PTH_SILK (TAC_SWITCH);TACTILE-PTH_SILK;66.769;114.775;Bottom;90.0;Mini Button
S_TIME;TAC_SWITCHTACTILE_PTH_SILK (TAC_SWITCH);TACTILE-PTH_SILK;14.699;45.56;Bottom;270.0;Mini Button
S_TRIG;TAC_SWITCHTACTILE_PTH_SILK (TAC_SWITCH);TACTILE-PTH_SILK;65.499;16.35;Bottom;270.0;Mini Button
VR_DENS;bourns PTL LED slide pot ;BOURNS PTL 30mm;55.974;86.835;Bottom;90.0;
VR_FDBK;POT_9MM_SNAP-IN__ (POT_9MM_SNAP-IN_);ALPS_POT_VERTICAL_PS;43.274;54.48;Bottom;0.0;P-10K-B
VR_IN;POT_9MM_SNAP-IN__ (POT_9MM_SNAP-IN_);ALPS_POT_VERTICAL_PS;82.009;84.96;Bottom;0.0;P-10K-B
VR_MIX;POT_9MM_SNAP-IN__ (POT_9MM_SNAP-IN_);ALPS_POT_VERTICAL_PS;71.214;54.48;Bottom;0.0;P-10K-B
VR_OUT;POT_9MM_SNAP-IN__ (POT_9MM_SNAP-IN_);ALPS_POT_VERTICAL_PS;18.509;84.96;Bottom;0.0;P-10K-B
VR_PAN;POT_9MM_SNAP-IN__ (POT_9MM_SNAP-IN_);ALPS_POT_VERTICAL_PS;57.244;54.48;Bottom;0.0;P-10K-B
VR_PITCH;POT_9MM_SNAP-IN__ (POT_9MM_SNAP-IN_);ALPS_POT_VERTICAL_PS;82.009;110.36;Bottom;0.0;P-10K-B
VR_POSI;bourns PTL LED slide pot ;BOURNS PTL 30mm;68.039;86.835;Bottom;90.0;
VR_SIZE;bourns PTL LED slide pot ;BOURNS PTL 30mm;43.909;86.835;Bottom;90.0;
VR_TEXT;bourns PTL LED slide pot ;BOURNS PTL 30mm;32.479;86.835;Bottom;90.0;
VR_VERB;POT_9MM_SNAP-IN__ (POT_9MM_SNAP-IN_);ALPS_POT_VERTICAL_PS;29.304;54.48;Bottom;0.0;P-10K-B
C1;C-EUC0603 (C-EU);CAP_0603;35.983;106.67;Top;270.0;2.2UF
C2;C-EUC0603 (C-EU);CAP_0603;65.702;106.611;Top;270.0;18PF
C3;C-EUC0603 (C-EU);CAP_0603;67.651;106.611;Top;270.0;18PF
C4;C-EU-POL_4D (C-EU-POL);EC-4X7;75.342;101.92;Top;0.0;10UF
