"RefDes";"Name";"Pattern";"Center X (mil)";"Center Y (mil)";"Side";"Rotation";"Value"
"C1";"C-EUC0603 (C-EU)";"CAP_0603";"1416.67";"4199.61";"Top";"270.0";"2.2UF"
"C2";"C-EUC0603 (C-EU)";"CAP_0603";"2586.7";"4197.27";"Top";"270.0";"18PF"
"C3";"C-EUC0603 (C-EU)";"CAP_0603";"2663.43";"4197.27";"Top";"270.0";"18PF"
"C4";"C-EU-POL_4D (C-EU-POL)";"EC-4X7";"2966.2";"4012.6";"Top";"0.0";"10UF"
"C5";"C-EUC0603 (C-EU)";"CAP_0603";"1178.7";"4102.16";"Top";"180.0";"100NF"
"C6";"C-EUC0603 (C-EU)";"CAP_0603";"2020.69";"4044.93";"Top";"0.0";"100NF"
"C7";"C-EUC0603 (C-EU)";"CAP_0603";"2324.66";"4043.7";"Top";"180.0";"100NF"
"C8";"C-EUC0603 (C-EU)";"CAP_0603";"2023.1";"3968.82";"Top";"180.0";"2.2UF"
"C9";"C-EUC0603 (C-EU)";"CAP_0603";"3347.61";"3985.78";"Top";"0.0";"47PF"
"C10";"C-EUC0603 (C-EU)";"CAP_0603";"3491.2";"3943.7";"Top";"180.0";"220PF"
"C11";"C-EUC0603 (C-EU)";"CAP_0603";"902.7";"3915.26";"Top";"0.0";"100NF"
"C12";"C-EUC0603 (C-EU)";"CAP_0603";"2982.74";"3818.7";"Top";"0.0";"47PF"
"C13";"C-EUC0603 (C-EU)";"CAP_0603";"2234.19";"3733.08";"Top";"270.0";"100NF"
"C14";"C-EUC0603 (C-EU)";"CAP_0603";"2832.74";"3758.1";"Top";"180.0";"220PF"
"C15";"C-EUC0603 (C-EU)";"CAP_0603";"3492.44";"3756.2";"Top";"180.0";"100NF"
"C16";"C-EUC0603 (C-EU)";"CAP_0603";"2982.74";"3718.7";"Top";"180.0";"100NF"
"C17";"C-EU-POL_4D (C-EU-POL)";"EC-4X7";"2203.7";"3512.3";"Top";"0.0";"10UF"
"C18";"C-EUC0603 (C-EU)";"CAP_0603";"441.2";"3577.16";"Top";"90.0";"100NF"
"C19";"C-EU-POL_4D (C-EU-POL)";"EC-4X7";"2628.7";"3451.7";"Top";"0.0";"10UF"
"C20";"C-EU-POL_4D (C-EU-POL)";"EC-4X7";"2853.7";"3451.7";"Top";"0.0";"10UF"
"C21";"C-EUC0603 (C-EU)";"CAP_0603";"2026.05";"3561.61";"Top";"0.0";"100NF"
"C22";"C-EUC0603 (C-EU)";"CAP_0603";"728.7";"3502.16";"Top";"270.0";"100NF"
"C23";"C-EUC0603 (C-EU)";"CAP_0603";"2482.74";"3508.1";"Top";"180.0";"100NF"
"C24";"C-EUC0603 (C-EU)";"CAP_0603";"3216.2";"3506.2";"Top";"180.0";"47PF"
"C25";"C-EUC0603 (C-EU)";"CAP_0603";"3491.2";"3506.2";"Top";"180.0";"47PF"
"C26";"C-EUC0603 (C-EU)";"CAP_0603";"1207.74";"3468.7";"Top";"180.0";"100NF"
"C27";"C-EUC0805 (C-EU)";"C0805";"1066.2";"3418.8";"Top";"270.0";"10UF"
"C28";"C-EU-POL_4D (C-EU-POL)";"EC-4X7";"2491.2";"3263.92";"Top";"0.0";"10UF"
"C29";"C-EU-POL_4D (C-EU-POL)";"EC-4X7";"1228.7";"3262.3";"Top";"0.0";"10UF"
"C30";"C-EU-POL_4D (C-EU-POL)";"EC-4X7";"2128.7";"3249.8";"Top";"0.0";"10UF"
"C31";"C-EUC0603 (C-EU)";"CAP_0603";"1900.72";"3369.23";"Top";"0.0";"100NF"
"C32";"C-EUC0603 (C-EU)";"CAP_0603";"1445.24";"3368.7";"Top";"180.0";"100NF"
"C33";"C-EUC0603 (C-EU)";"CAP_0603";"1724.66";"3368.7";"Top";"0.0";"100NF"
"C34";"C-EUC0603 (C-EU)";"CAP_0603";"2303.7";"3343.7";"Top";"180.0";"560PF"
"C35";"C-EUC0805 (C-EU)";"C0805";"441.2";"3268.8";"Top";"270.0";"10UF"
"C36";"C-EUC0805 (C-EU)";"C0805";"691.2";"3268.6";"Top";"90.0";"10UF"
"C37";"C-EUC0603 (C-EU)";"CAP_0603";"1905.07";"3279.02";"Top";"0.0";"100NF"
"C38";"C-EUC0603 (C-EU)";"CAP_0603";"3482.74";"3237.01";"Top";"0.0";"470NF"
"C39";"C-EUC0603 (C-EU)";"CAP_0603";"2841.2";"3229.89";"Top";"0.0";"560PF"
"C40";"C-EUC0603 (C-EU)";"CAP_0603";"2303.7";"3168.7";"Top";"0.0";"100NF"
"C41";"C-EUC0603 (C-EU)";"CAP_0603";"3482.74";"3149.51";"Top";"0.0";"470NF"
"C42";"C-USC0603";"CAP_0603";"1480.51";"3093.7";"Top";"180.0";"18p"
"C43";"C-USC0603";"CAP_0603";"1655.51";"3093.7";"Top";"0.0";"18p"
"C44";"C-EUC0603 (C-EU)";"CAP_0603";"2841.2";"3129.89";"Top";"180.0";"100NF"
"C45";"C-EUC0603 (C-EU)";"CAP_0603";"2991.2";"3129.89";"Top";"180.0";"560PF"
"C46";"C-EUC0603 (C-EU)";"CAP_0603";"2541.2";"3077.16";"Top";"180.0";"560PF"
"C47";"C-EUC0603 (C-EU)";"CAP_0603";"2703.7";"2947.66";"Top";"180.0";"560PF"
"C48";"C-EUC0603 (C-EU)";"CAP_0603";"487.16";"2868.7";"Top";"0.0";"100NF"
"C49";"C-EUC0603 (C-EU)";"CAP_0603";"3341.2";"2831.2";"Top";"0.0";"560PF"
"C50";"C-EUC0805 (C-EU)";"C0805";"1853.7";"2770.78";"Top";"270.0";"10UF"
"C51";"C-EUC0603 (C-EU)";"CAP_0603";"1380.05";"2752.49";"Top";"270.0";"100NF"
"C52";"C-EUC0603 (C-EU)";"CAP_0603";"2053.7";"2731.2";"Top";"180.0";"560PF"
"C53";"C-EUC0603 (C-EU)";"CAP_0603";"2137.98";"2531.28";"Top";"0.0";"100NF"
"C54";"C-EUC0603 (C-EU)";"CAP_0603";"2543.92";"2534.93";"Top";"180.0";"560PF"
"C55";"C-EUC0603 (C-EU)";"CAP_0603";"987.9";"2588.04";"Top";"0.0";"100NF"
"C56";"C-EUC0603 (C-EU)";"CAP_0603";"2916.2";"2552.16";"Top";"90.0";"100NF"
"C57";"C-EUC0603 (C-EU)";"CAP_0603";"1657.74";"1805.27";"Top";"0.0";"10NF"
"C58";"C-EUC0603 (C-EU)";"CAP_0603";"1093.32";"1795.55";"Top";"180.0";"10NF"
"C59";"C-EUC0603 (C-EU)";"CAP_0603";"2237.16";"1703.7";"Top";"0.0";"10NF"
"C60";"C-EUC0603 (C-EU)";"CAP_0603";"2762.16";"1623.69";"Top";"180.0";"10NF"
"C61";"C-EUC0603 (C-EU)";"CAP_0603";"2239.16";"1607.71";"Top";"0.0";"100NF"
"C62";"C-EUC0603 (C-EU)";"CAP_0603";"1094.13";"1521.65";"Top";"0.0";"100NF"
"C63";"C-EUC0603 (C-EU)";"CAP_0603";"3503.7";"1485.24";"Top";"270.0";"100NF"
"C64";"C-EUC0603 (C-EU)";"CAP_0603";"549.66";"1231.2";"Top";"0.0";"47PF"
"C65";"C-EUC0603 (C-EU)";"CAP_0603";"1007.74";"1231.2";"Top";"180.0";"47PF"
"C66";"C-EUC0603 (C-EU)";"CAP_0603";"3214.98";"1228.83";"Top";"0.0";"100NF"
