Designator,Footprint,Quantity,Value,LCSC Part #
"PAD1, PAD15, PAD16, PAD17, PAD18, PAD19, PAD2, PAD20, PAD3, PAD30, PAD31, PAD32, PAD33, PAD4, PAD5, PAD6, PAD7, PAD8, PAD9",RES_0805_Pad1,19,PAD,
"PAD10, PAD11, PAD13, PAD14",Pad-Eurorack-Vis,4,PAD,
PAD12,RES_0805_Pad12,1,PAD,
"PAD21, PAD22, PAD23, PAD24, PAD25, PAD26, PAD34",RES_0805_Pad21,7,PAD,
UNK_HOLE_0,dummyfp0,1,,
UNK_HOLE_1,dummyfp1,1,,
UNK_HOLE_2,dummyfp2,1,,
UNK_HOLE_3,dummyfp3,1,,
UNK_HOLE_4,dummyfp4,1,,
UNK_HOLE_5,dummyfp5,1,,
UNK_HOLE_6,dummyfp6,1,,
